,station,station_name,station_lat,station_lng,arrival_pred,demand_pred,difference
0,646,State St & 54th St,41.796642,-87.625923,0.0,0.0,0.0
1,KA1504000096,Sawyer Ave & Irving Park Rd,41.95358617895,-87.7093107999,0.0,0.0,0.0
2,KA1503000030,Jeffery Blvd & 67th St,41.773518,-87.577143,6.0,5.0,1.0
3,13096,California Ave & 21st St,41.8538040657915,-87.69574239850043,2.0,0.0,2.0
4,444,N Shore Channel Trail & Argyle St,41.97,-87.7,0.0,0.0,0.0
5,527,Western Ave & Howard St,42.0189045,-87.6900675,5.0,0.0,5.0
6,KA1503000018,Jeffery Blvd & 71st St,41.76663823695,-87.5764501141,20.0,1.0,19.0
7,KA1503000054,Cottage Grove Ave & 63rd St,41.78053094070882,-87.6059702038765,13.0,4.0,9.0
8,TA1307000160,Prairie Ave & Garfield Blvd,41.794839978,-87.618806958,21.0,0.0,21.0
9,TA1308000038,Cottage Grove Ave & Oakwood Blvd,41.823029757,-87.607121348,0.0,0.0,0.0
10,15624,Avondale Ave & Irving Park Rd,41.953393,-87.732002,3.0,5.0,-2.0
11,314,Narragansett & Wrightwood,41.93,-87.79,0.0,3.0,-3.0
12,600,Dodge Ave & Church St,42.048308,-87.698224,17.0,4.0,13.0
13,KA1503000046,Dorchester Ave & 63rd St,41.7804056457,-87.5914159893,0.0,0.0,0.0
14,KA1503000065,Woodlawn Ave & Lake Park Ave,41.81409271048,-87.5970051479,0.0,2.0,-2.0
15,KA1504000097,Drake Ave & Montrose Ave,41.96115407569,-87.7165690733,0.0,1.0,-1.0
16,KA1504000102,Fairfield Ave & Roosevelt Rd,41.866623163,-87.694511056,0.0,0.0,0.0
17,18016,Bernard St & Elston Ave,41.94994583333333,-87.71391533333333,0.0,0.0,0.0
18,426,California & 16th St,41.86,-87.7,0.0,150.0,-150.0
19,RP-005,Western Ave & Lunt Ave,42.0085943972,-87.6904922389,10.0,-0.0,10.0
20,13091,Western Ave & 21st St,41.854109,-87.685838,0.0,0.0,0.0
21,13162,Halsted St & 21st St,41.85377981072743,-87.6466029882431,3.0,0.0,3.0
22,13165,Racine Ave & 13th St,41.86506533333333,-87.65704016666666,0.0,0.0,0.0
23,15542,Clinton St & Polk St,41.87146651779,-87.6409491327,0.0,-0.0,0.0
24,15585,Budlong Woods Library,41.98366470886,-87.6964225611,0.0,0.0,0.0
25,15615,Christiana Ave & Lawrence Ave,41.9683755,-87.71184366666667,9.0,8.0,1.0
26,15628,California Ave & Byron St,41.95221933333333,-87.6980885,8.0,3.0,5.0
27,15631,Troy St & Elston Ave,41.94524356848,-87.7066499009,0.0,5.0,-5.0
28,15640,Avers Ave & Belmont Ave,41.939408,-87.723574,4.0,4.0,0.0
29,15654,Spaulding Ave & Division St,41.90271,-87.70925366666667,13.0,2.0,11.0
30,16806,Bosworth Ave & Howard St,42.01952666666666,-87.66952416666666,4.0,2.0,2.0
31,20219,Burnham Greenway & 112th St,41.69177385116831,-87.53043115139008,0.0,0.0,0.0
32,425,Rockwell St & Cermak Rd,41.85,-87.69,0.0,0.0,0.0
33,435,Rockwell St & Fletcher St,41.94,-87.69,0.0,0.0,0.0
34,446,Francisco Ave & Montrose Ave,41.96,-87.7,7.0,14.0,-7.0
35,472,Elston Ave & George St,41.93,-87.69,8.0,0.0,8.0
36,499,Public Rack - Christiana Ave & Belmont Ave,41.94,-87.71,4.0,0.0,4.0
37,518,Conservatory Dr & Lake St,41.88552283333333,-87.71686316666667,1.0,0.0,1.0
38,643,Smith Park,41.892048,-87.689397,0.0,0.0,0.0
39,E007,Central St & Girard Ave,42.064313,-87.686152,4.0,2.0,2.0
40,KA1503000069,Dorchester Ave & 49th St,41.80582233333333,-87.59248983333333,0.0,0.0,0.0
41,KA1503000075,DuSable Museum,41.79156801058,-87.6078521774,2.0,0.0,2.0
42,KA1504000117,Halsted St & North Branch St,41.89939028549696,-87.64854490756989,0.0,0.0,0.0
43,KA1504000126,Kedzie Ave & Leland Ave,41.966637135,-87.708161712,0.0,0.0,0.0
44,KA1504000129,Western Ave & Granville Ave,41.99416136902,-87.689438282,0.0,0.0,0.0
45,KA1504000139,Monticello Ave & Irving Park Rd,41.954129815,-87.718992949,5.0,0.0,5.0
46,KA1504000147,Winchester (Ravenswood) Ave & Balmoral Ave,41.979752833333336,-87.677629,1.0,-0.0,1.0
47,RP-001,Warren Park West,42.001785,-87.688829,0.0,0.0,0.0
48,RP-002,Warren Park East,42.00454962194,-87.6806661451,0.0,0.0,0.0
49,RP-008,Clark St & Columbia Ave,42.00445116666667,-87.67236416666667,3.0,-0.0,3.0
50,TA1308000014,Normal Ave & Archer Ave,41.849527,-87.640591,3.0,0.0,3.0
51,TA1308000023,Cottage Grove Ave & 43rd St,41.816541672,-87.606623411,4.0,0.0,4.0
52,20254.0,W Armitage Ave & N Sheffield Ave,41.92,-87.65,0.0,3.0,-3.0
53,573,State St & 79th St,41.750794,-87.624424,1.0,11.0,-10.0
54,13089,Damen Ave & Cullerton St,41.854966518753926,-87.67569959163664,2.0,6.0,-4.0
55,13099,Halsted St & 18th St,41.857506,-87.645991,15.0,5.0,10.0
56,13245,Claremont Ave & Hirsch St,41.907781,-87.685854,22.0,0.0,22.0
57,13304,Racine Ave & 15th St,41.861246,-87.65656683333333,7.0,2.0,5.0
58,15643,Kosciuszko Park,41.930529594,-87.723835111,0.0,5.0,-5.0
59,15667,Western Ave & Monroe St,41.8797877089,-87.686112808,3.0,2.0,1.0
60,515,Paulina St & Howard St,42.01911733333333,-87.67355483333333,0.0,0.0,0.0
61,525,Glenwood Ave & Touhy Ave,42.012701,-87.666058,1.0,3.0,-2.0
62,655,Hoyne Ave & Balmoral Ave,41.979926,-87.68196633333334,2.0,0.0,2.0
63,KA1503000005,Wentworth Ave & 35th St,41.830777,-87.632504,0.0,0.0,0.0
64,KA1504000078,Lincoln Ave & Winona St,41.9748965,-87.692734,33.0,3.0,30.0
65,KA1504000109,Washtenaw Ave & Ogden Ave,41.861914166666665,-87.69354266666667,0.0,0.0,0.0
66,KA1504000158,Oakley Ave & Irving Park Rd,41.95434085219,-87.6860796243,4.0,3.0,1.0
67,KA1504000159,Sheridan Rd & Greenleaf Ave,42.010586262,-87.662348747,3.0,4.0,-1.0
68,SL-006,Wells St & 19th St,41.85681016666667,-87.633809,0.0,0.0,0.0
69,TA1307000153,Emerald Ave & 28th St,41.84358,-87.645368,2.0,8.0,-6.0
70,TA1308000002,Greenwood Ave & 47th St,41.809835,-87.599383,12.0,6.0,6.0
71,TA1308000026,Wentworth Ave & 24th St (Temp),41.850084,-87.632141,11.0,12.0,-1.0
72,TA1308000043,Halsted St & 35th St,41.830661,-87.647172,3.0,6.0,-3.0
73,523,Eastlake Ter & Rogers Ave,42.0208872805206,-87.66505792737007,15.0,5.0,10.0
74,TA1309000067,Cottage Grove Ave & 51st St,41.80294083333333,-87.6066475,2.0,1.0,1.0
75,KA1504000127,Manor Ave & Leland Ave,41.9659045,-87.700852,0.0,2.0,-2.0
76,TA1309000053,Cottage Grove Ave & 47th St,41.809855,-87.606755,3.0,4.0,-1.0
77,13134,Damen Ave & Madison St,41.88137,-87.67493,0.0,11.0,-11.0
78,13292,Kedzie Ave & Palmer Ct,41.921525,-87.707322,4.0,12.0,-8.0
