,station,max_departure,station_name,station_lat,station_lng,max_arrival
0,1011,1.0,Public Rack - Fullerton Ave & Narragansett Ave,41.92,-87.79,1.0
1,1018,1.0,Public Rack - Kostner Ave & Wrightwood Ave,41.93,-87.74,0.0
2,1019,1.0,Public Rack - Kostner Ave & Diversey Ave,41.93,-87.74,1.0
3,1020,1.0,Public Rack - Hamlin Ave & Madison St,41.88,-87.72,1.0
4,1023,1.0,Public Rack - Brainerd Park,41.73,-87.65,1.0
5,1033,1.0,Public Rack - Pulaski Rd & 65th St,41.77,-87.72,1.0
6,1038,1.0,Public Rack - Kedzie Ave & 62nd Pl,41.78,-87.7,1.0
7,1039,1.0,Public Rack - Kedzie Ave & 61st Pl W,41.78,-87.7,0.0
8,1057,1.0,Public Rack - Tripp Ave & North Ave,41.91,-87.73,1.0
9,1060,1.0,Public Rack - Homan Ave & Lake St,41.88,-87.71,0.0
10,1061,1.0,Public Rack - Central Park Ave & Fulton Blvd,41.89,-87.72,1.0
11,1069,1.0,Public Rack - Komensky Ave & 26th St,41.84,-87.73,1.0
12,13083,1.0,Indiana Ave & 40th St,41.82168,-87.6216,1.0
13,15449,1.0,State St & Pershing Rd,41.82301523798,-87.6265680185,1.0
14,15599,1.0,Calumet Ave & 71st St,41.76550800581,-87.616917925,1.0
15,16905,1.0,Central Ave & Lake St,41.88765116666666,-87.76546083333334,1.0
16,16907,1.0,Central Park Blvd & 5th Ave,41.875682116,-87.715487599,1.0
17,16913,1.0,Cicero Ave & Quincy St,41.877613,-87.745405,1.0
18,16915,1.0,Central Ave & Harrison St,41.87292016666667,-87.76447766666666,1.0
19,16933,1.0,Morgan St & Pershing Rd,41.823613,-87.650931,1.0
20,16940,1.0,Ashland Ave & 50th St,41.803045392,-87.664714098,1.0
21,16943,1.0,Ashland Ave & Garfield Blvd,41.792959094,-87.664515138,1.0
22,16948,1.0,Ashland Ave & 63rd St,41.779374,-87.664843,1.0
23,16951,1.0,Damen Ave & 74th St,41.75927403933122,-87.67363429069519,1.0
24,16953,1.0,Vincennes Ave & 75th St,41.75797,-87.63121,1.0
25,16994,1.0,Kilbourn Ave & Milwaukee Ave,41.94707089418471,-87.74000823497772,3.0
26,20102,1.0,Loomis St & 89th St,41.73237975329554,-87.65806943178177,1.0
27,20107,1.0,Walden Pkwy & 100th St,41.71216410359803,-87.66773343086243,2.0
28,20111,1.0,Olive Harvey College,41.70958113526255,-87.59023368358612,1.0
29,20112,1.0,Indiana Ave & 103rd St,41.70717027117756,-87.6184719800949,1.0
30,20114,1.0,Doty Ave & 111th St,41.69501044938143,-87.59871482849121,1.0
31,20115,1.0,Martin Luther King Dr & 111th St,41.69,-87.61,1.0
32,20116,1.0,Dauphin Ave & 87th St,41.73655902282214,-87.60125756263733,2.0
33,20118,1.0,Eggleston Ave & 92nd St,41.727681,-87.63489966666667,0.0
34,20119,1.0,Elizabeth St & 92nd St,41.726878405,-87.65429794799999,1.0
35,20121,1.0,Loomis Blvd & 84th St,41.74148652861805,-87.65841007232666,1.0
36,20123,1.0,Western Ave & 104th St,41.70458710218908,-87.68120348453522,2.0
37,20125,1.0,Halsted St & 104th St,41.70513978893236,-87.6424241065979,1.0
38,20127,1.0,Halsted St & 111th St,41.69226255589166,-87.64261186122894,2.0
39,20130,1.0,Wentworth Ave & 104th St,41.705307996998194,-87.62921690940857,1.0
